repr,run,lowercase,stop_words,query,rank,doc_id,score,title,venue,year,url,abstract_snippet
BoW,bow_lc_off_sw_off,False,,Query 1,1,412,0.5862225581108623,Neural Machine Translation with Source Dependency Representation,EMNLP,2017,http://aclweb.org/anthology/D17-1304,"We first observe a potential weakness of continuous vector representations of symbols in neural machine translation. That is, the continuous vector representation, or a word embedding vector, of a symbol encodes multiple dimensions of simil..."
BoW,bow_lc_off_sw_off,False,,Query 1,2,100,0.5486717282283898,HUME: Human UCCA-Based Evaluation of Machine Translation,EMNLP,2016,http://aclweb.org/anthology/D16-1134,"Recent research suggests that neural machine translation achieves parity with professional human translation on the WMT Chinese--English news translation task. We empirically test this claim with alternative evaluation protocols, contrastin..."
BoW,bow_lc_off_sw_off,False,,Query 1,3,738,0.5378212329705866,The Lazy Encoder: A Fine-Grained Analysis of the Role of Morphology in Neural Machine Translation,EMNLP,2018,http://aclweb.org/anthology/D18-1313,"The advent of the attention mechanism in neural machine translation models has improved the performance of machine translation systems by enabling selective lookup into the source sentence. In this paper, the efficiencies of translation usi..."
BoW,bow_lc_off_sw_off,False,,Query 2,1,881,0.6435172056104048,A Nil-Aware Answer Extraction Framework for Question Answering,EMNLP,2018,http://aclweb.org/anthology/D18-1456,"In this paper, we present a novel approach to machine reading comprehension for the MS-MARCO dataset. Unlike the SQuAD dataset that aims to answer a question with exact text spans in a passage, the MS-MARCO dataset defines the task as answe..."
BoW,bow_lc_off_sw_off,False,,Query 2,2,522,0.6038822648935608,Utilizing Character and Word Embeddings for Text Normalization with Sequence-to-Sequence Models,EMNLP,2018,http://aclweb.org/anthology/D18-1097,"Text normalization is an important enabling technology for several NLP tasks. Recently, neural-network-based approaches have outperformed well-established models in this task. However, in languages other than English, there has been little ..."
BoW,bow_lc_off_sw_off,False,,Query 2,3,756,0.6007622973936925,Learning When to Concentrate or Divert Attention: Self-Adaptive Attention Temperature for Neural Machine Translation,EMNLP,2018,http://aclweb.org/anthology/D18-1331,"Most of the Neural Machine Translation (NMT) models are based on the sequence-to-sequence (Seq2Seq) model with an encoder-decoder framework equipped with the attention mechanism. However, the conventional attention mechanism treats the deco..."
BoW,bow_lc_off_sw_off,False,,Query 3,1,426,0.4768006683498644,Privacy-preserving Neural Representations of Text,EMNLP,2018,http://aclweb.org/anthology/D18-1001,"Text summarization and text simplification are two major ways to simplify the text for poor readers, including children, non-native speakers, and the functionally illiterate. Text summarization is to produce a brief summary of the main idea..."
BoW,bow_lc_off_sw_off,False,,Query 3,2,488,0.4735378834010061,Learning Unsupervised Word Translations Without Adversaries,EMNLP,2018,http://aclweb.org/anthology/D18-1063,"Recent research has shown that word embedding spaces learned from text corpora of different languages can be aligned without any parallel data supervision. Inspired by the success in unsupervised cross-lingual word embeddings, in this paper..."
BoW,bow_lc_off_sw_off,False,,Query 3,3,286,0.46190771067662606,A Joint Sequential and Relational Model for Frame-Semantic Parsing,EMNLP,2017,http://aclweb.org/anthology/D17-1128,"We propose a framework for parsing video and text jointly for understanding events and answering user queries. Our framework produces a parse graph that represents the compositional structures of spatial information (objects and scenes), te..."
BoW,bow_lc_off_sw_on,False,english,Query 1,1,762,0.4770506650595697,Prediction Improves Simultaneous Neural Machine Translation,EMNLP,2018,http://aclweb.org/anthology/D18-1337,"We investigate the potential of attention-based neural machine translation in simultaneous translation. We introduce a novel decoding algorithm, called simultaneous greedy decoding, that allows an existing neural machine translation model t..."
BoW,bow_lc_off_sw_on,False,english,Query 1,2,100,0.46747513669930907,HUME: Human UCCA-Based Evaluation of Machine Translation,EMNLP,2016,http://aclweb.org/anthology/D16-1134,"Recent research suggests that neural machine translation achieves parity with professional human translation on the WMT Chinese--English news translation task. We empirically test this claim with alternative evaluation protocols, contrastin..."
BoW,bow_lc_off_sw_on,False,english,Query 1,3,936,0.4557234328332087,Has Machine Translation Achieved Human Parity? A Case for Document-level Evaluation,EMNLP,2018,http://aclweb.org/anthology/D18-1512,"Recent research suggests that neural machine translation achieves parity with professional human translation on the WMT Chinese--English news translation task. We empirically test this claim with alternative evaluation protocols, contrastin..."
BoW,bow_lc_off_sw_on,False,english,Query 2,1,258,0.3711482237813678,Two-Stage Synthesis Networks for Transfer Learning in Machine Comprehension,EMNLP,2017,http://aclweb.org/anthology/D17-1087,"We develop a technique for transfer learning in machine comprehension (MC) using a novel two-stage synthesis network (SynNet). Given a high-performing MC model in one domain, our technique aims to answer questions about documents in another..."
